Type,Name,Lv,Hp,BuildTime,BuildCostWoods,MaxCapacity,MaxMergeLv,ParatrooperLv,ParatrooperCapacity,InitialNum,AtkCd,DefCd
ArmyCamp,ArmyCamp,0,0,0,0,75,0,0,0,1,7,10
ArmyCamp,ArmyCamp,1,1800,0,0,75,3,3,1,1,7,10
ArmyCamp,ArmyCamp,2,3405,60,500,95,4,4,2,2,7,10
ArmyCamp,ArmyCamp,3,5659,7200,4000,110,5,5,3,2,6.5,9.5
ArmyCamp,ArmyCamp,4,8680,28800,30000,120,5,5,4,3,6.5,9.5
ArmyCamp,ArmyCamp,5,12605,43200,60000,130,6,6,5,3,6.5,9.5
ArmyCamp,ArmyCamp,6,17602,86400,100000,145,6,6,6,4,6.5,9.5
ArmyCamp,ArmyCamp,7,23873,172800,200000,155,7,7,7,4,6,9
ArmyCamp,ArmyCamp,8,31357,345600,300000,165,7,7,8,4,6,9
ArmyCamp,ArmyCamp,9,40091,518400,400000,180,7,7,9,5,6,9
ArmyCamp,ArmyCamp,10,50601,691200,500000,190,8,8,10,5,6,9
ArmyCamp,ArmyCamp,11,67914,864000,600000,200,8,8,11,5,6,9
ArmyCamp,ArmyCamp,12,85196,1036800,750000,215,8,8,12,6,6,9
ArmyCamp,ArmyCamp,13,110623,1209600,900000,225,9,9,13,6,5,8
ArmyCamp,ArmyCamp,14,146212,1382400,1050000,235,9,9,14,6,5,8
ArmyCamp,ArmyCamp,15,197200,1555200,1500000,250,9,9,15,7,5,8
