Type,Name,id,Lv,Hp,BuildTime,BuildCostWoods,TargetsType,Atk,SplashAtkValue,AtkSpeed,AtkRange,MinAtkRange,DamageRange,CombatPower,AtkTargets,SelectAttackPatternTypesArray,SelectUnitTypesArray
WallMini,Wall,11,0,0,0,0,0,0,0,0,0,0,0,0,,"1,2","1,4"
WallMini,Wall,11,1,4500,0,250,0,0,0,0,0,0,0,0,,"1,2","1,4"
WallMini,Wall,11,2,7372,0,500,0,0,0,0,0,0,0,0,,"1,2","1,4"
WallMini,Wall,11,3,11075,0,750,0,0,0,0,0,0,0,0,,"1,2","1,4"
WallMini,Wall,11,4,15671,0,1000,0,0,0,0,0,0,0,0,,"1,2","1,4"
WallMini,Wall,11,5,21240,0,1500,0,0,0,0,0,0,0,0,,"1,2","1,4"
WallMini,Wall,11,6,27887,0,3000,0,0,0,0,0,0,0,0,,"1,2","1,4"
WallMini,Wall,11,7,35748,0,5000,0,0,0,0,0,0,0,0,,"1,2","1,4"
WallMini,Wall,11,8,44998,0,10000,0,0,0,0,0,0,0,0,,"1,2","1,4"
WallMini,Wall,11,9,55870,0,20000,0,0,0,0,0,0,0,0,,"1,2","1,4"
WallMini,Wall,11,10,68661,0,30000,0,0,0,0,0,0,0,0,,"1,2","1,4"
WallMini,Wall,11,11,83762,0,40000,0,0,0,0,0,0,0,0,,"1,2","1,4"
WallMini,Wall,11,12,101681,0,50000,0,0,0,0,0,0,0,0,,"1,2","1,4"
WallMini,Wall,11,13,123077,0,60000,0,0,0,0,0,0,0,0,,"1,2","1,4"
WallMini,Wall,11,14,148810,0,70000,0,0,0,0,0,0,0,0,,"1,2","1,4"
WallMini,Wall,11,15,180000,0,80000,0,0,0,0,0,0,0,0,,"1,2","1,4"
CrossTower,Archer Tower,10,0,0,0,0,3,0,0,0,0,0,0,0,"1,2","1,2","1,4"
CrossTower,Archer Tower,10,1,2400,60,10000,3,87,0,4,150,0,0,226,"1,2","1,2","1,4"
CrossTower,Archer Tower,10,2,4256,1800,20000,3,155,0,4,150,0,0,403,"1,2","1,2","1,4"
CrossTower,Archer Tower,10,3,6658,3600,30000,3,242,0,4,150,0,0,629,"1,2","1,2","1,4"
CrossTower,Archer Tower,10,4,9644,10800,40000,3,351,0,4,150,0,0,913,"1,2","1,2","1,4"
CrossTower,Archer Tower,10,5,13269,21600,60000,3,483,0,4,150,0,0,1256,"1,2","1,2","1,4"
CrossTower,Archer Tower,10,6,17602,43200,80000,3,641,0,4,150,0,0,1667,"1,2","1,2","1,4"
CrossTower,Archer Tower,10,7,22736,86400,100000,3,828,0,4,150,0,0,2153,"1,2","1,2","1,4"
CrossTower,Archer Tower,10,8,28795,129600,130000,3,1049,0,4,150,0,0,2727,"1,2","1,2","1,4"
CrossTower,Archer Tower,10,9,35940,172800,160000,3,1310,0,4,150,0,0,3406,"1,2","1,2","1,4"
CrossTower,Archer Tower,10,10,44388,259200,210000,3,1618,0,4,150,0,0,4206,"1,2","1,2","1,4"
CrossTower,Archer Tower,10,11,54421,432000,260000,3,1984,0,4,150,0,0,5158,"1,2","1,2","1,4"
CrossTower,Archer Tower,10,12,66416,604800,320000,3,2421,0,4,150,0,0,6294,"1,2","1,2","1,4"
CrossTower,Archer Tower,10,13,80871,864000,450000,3,2948,0,4,150,0,0,7665,"1,2","1,2","1,4"
CrossTower,Archer Tower,10,14,98442,1036800,550000,3,3589,0,4,150,0,0,9331,"1,2","1,2","1,4"
CrossTower,Archer Tower,10,15,120000,1209600,700000,3,4375,0,4,150,0,0,11375,"1,2","1,2","1,4"
CrossTower,Archer Tower,10,16,135000,1209600,850000,3,5100,0,4,150,0,0,13476,"1,2","1,2","1,4"
CrossTower,Archer Tower,10,17,150000,1209600,1000000,3,6000,0,4,150,0,0,15721,"1,2","1,2","1,4"
Catapult,Mortar,18,0,0,0,0,1,0,0,0,260,60,20,0,1,"1,2","1,4"
Catapult,Mortar,18,1,2125,60,12500,1,96,96,0.2,260,60,20,384,1,"1,2","1,4"
Catapult,Mortar,18,2,3596,1800,25000,1,159,159,0.2,260,60,20,636,1,"1,2","1,4"
Catapult,Mortar,18,3,5497,3600,37500,1,236,236,0.2,260,60,20,944,1,"1,2","1,4"
Catapult,Mortar,18,4,7858,10800,50000,1,328,328,0.2,260,60,20,1312,1,"1,2","1,4"
Catapult,Mortar,18,5,10721,21600,75000,1,436,436,0.2,260,60,20,1744,1,"1,2","1,4"
Catapult,Mortar,18,6,14141,43200,100000,1,560,560,0.2,260,60,20,2240,1,"1,2","1,4"
Catapult,Mortar,18,7,18189,86400,125000,1,702,702,0.2,260,60,20,2808,1,"1,2","1,4"
Catapult,Mortar,18,8,22958,129600,162500,1,864,864,0.2,260,60,20,3456,1,"1,2","1,4"
Catapult,Mortar,18,9,28572,172800,200000,1,1050,1050,0.2,260,60,20,4200,1,"1,2","1,4"
Catapult,Mortar,18,10,35191,259200,262500,1,1263,1263,0.2,260,60,20,5052,1,"1,2","1,4"
Catapult,Mortar,18,11,43026,432000,325000,1,1508,1508,0.2,260,60,20,6032,1,"1,2","1,4"
Catapult,Mortar,18,12,52353,604800,400000,1,1794,1794,0.2,260,60,20,7176,1,"1,2","1,4"
