Arena,CombatPowerMin,CombatPowerMax,k,a
0,-1,-1,0.00000,0.00000
1,-1,-1,0.00000,0.00000
2,5497,29206,0.0015,56.8857
3,13332,46797,0.0012,44.0652
4,20548,65347,0.0009,38.7353
5,29609,87358,0.0007,34.9536
6,36967,108252,0.0006,33.1825
7,46173,132102,0.0005,30.8200
8,72421,373819,0.0002,40.4663
9,79664,392510,0,55
10,87630,412135,0,55
11,96393,432742,0,55
12,106032,454379,0,55
13,116636,477098,0,55
14,128299,500953,0,55
15,141129,526001,0,55
16,155242,552301,0,55
17,170766,579916,0,55
18,187843,608912,0,55
19,206627,639357,0,55
20,227290,671325,0,55
