Type,Name,Lv,Hp,BuildTime,BuildCostWoods,Productivity,GemProductivity,Capacity,GemCapacity,ProtectRate,PlunderRate
GoldMine,GoldMine,0,0,0,0,0,0,0,0,0,0
GoldMine,GoldMine,1,1350,0,0,1000,15,8000,120,12.5,90
GoldMine,GoldMine,2,2447,60,500,1150,16,9200,128,18.75,85
GoldMine,GoldMine,3,3911,900,2000,1300,17,10400,136,25,80
GoldMine,GoldMine,4,5786,3600,4000,1500,18,12000,144,31.25,75
GoldMine,GoldMine,5,8127,14400,15000,2000,19,16000,152,37.5,70
GoldMine,GoldMine,6,11001,28800,20000,2500,20,20000,160,43.75,65
GoldMine,GoldMine,7,14494,43200,26000,3000,21,24000,168,50,60
GoldMine,GoldMine,8,18716,57600,32000,3500,22,28000,176,50,55
GoldMine,GoldMine,9,23810,72000,40000,4000,23,32000,184,50,50
GoldMine,GoldMine,10,29961,86400,50000,4500,24,36000,192,50,45
GoldMine,GoldMine,11,37414,86400,60000,5000,25,40000,200,50,45
GoldMine,GoldMine,12,46491,129600,80000,5500,26,44000,208,50,45
GoldMine,GoldMine,13,57621,129600,100000,6000,27,48000,216,50,45
GoldMine,GoldMine,14,71371,172800,120000,6500,28,52000,224,50,45
GoldMine,GoldMine,15,88500,172800,150000,7000,30,56000,240,50,45
GoldMine,GoldMine,16,105000,259200,200000,7500,32,60000,256,50,45
GoldMine,GoldMine,17,122000,259200,250000,8000,34,64000,272,50,45
GoldMine,GoldMine,18,139500,345600,300000,8500,36,68000,288,50,45
GoldMine,GoldMine,19,157500,432000,400000,9000,38,72000,304,50,45
GoldMine,GoldMine,20,176000,518400,600000,10000,40,80000,320,50,45
CoinMine,CoinMine,0,0,0,0,0,0,0,0,0,0
CoinMine,CoinMine,1,300,0,0,0,0,0,0,0,0
CoinMine,CoinMine,2,600,0,0,0,0,0,0,0,0
CoinMine,CoinMine,3,900,0,0,0,0,0,0,0,0
CoinMine,CoinMine,4,1500,0,0,0,0,0,0,0,0
CoinMine,CoinMine,5,2500,0,0,0,0,0,0,0,0
CoinMine,CoinMine,6,4000,0,0,0,0,0,0,0,0
CoinMine,CoinMine,7,6000,0,0,0,0,0,0,0,0
CoinMine,CoinMine,8,8500,0,0,0,0,0,0,0,0
CoinMine,CoinMine,9,12000,0,0,0,0,0,0,0,0
CoinMine,CoinMine,10,15000,0,0,0,0,0,0,0,0
CoinMine,CoinMine,11,18000,0,0,0,0,0,0,0,0
CoinMine,CoinMine,12,21000,0,0,0,0,0,0,0,0
CoinMine,CoinMine,13,25000,0,0,0,0,0,0,0,0
CoinMine,CoinMine,14,30000,0,0,0,0,0,0,0,0
CoinMine,CoinMine,15,36000,0,0,0,0,0,0,0,0
CoinMine,CoinMine,16,42000,0,0,0,0,0,0,0,0
CoinMine,CoinMine,17,48000,0,0,0,0,0,0,0,0
CoinMine,CoinMine,18,55000,0,0,0,0,0,0,0,0
CoinMine,CoinMine,19,65000,0,0,0,0,0,0,0,0
CoinMine,CoinMine,20,75000,0,0,0,0,0,0,0,0
Sawmill,Sawmill,0,0,0,0,0,0,0,0,0,0
Sawmill,Sawmill,1,300,0,0,0,0,0,0,0,0
Sawmill,Sawmill,2,600,0,0,0,0,0,0,0,0
Sawmill,Sawmill,3,1000,0,0,0,0,0,0,0,0
Sawmill,Sawmill,4,1500,0,0,0,0,0,0,0,0
Sawmill,Sawmill,5,2500,0,0,0,0,0,0,0,0
Sawmill,Sawmill,6,4000,0,0,0,0,0,0,0,0
Sawmill,Sawmill,7,6000,0,0,0,0,0,0,0,0
Sawmill,Sawmill,8,9000,0,0,0,0,0,0,0,0
Sawmill,Sawmill,9,13500,0,0,0,0,0,0,0,0
Sawmill,Sawmill,10,18000,0,0,0,0,0,0,0,0
Sawmill,Sawmill,11,24000,0,0,0,0,0,0,0,0
Sawmill,Sawmill,12,30000,0,0,0,0,0,0,0,0
Sawmill,Sawmill,13,38000,0,0,0,0,0,0,0,0
Sawmill,Sawmill,14,48000,0,0,0,0,0,0,0,0
Sawmill,Sawmill,15,60000,0,0,0,0,0,0,0,0
Sawmill,Sawmill,16,60000,0,0,0,0,0,0,0,0
Sawmill,Sawmill,17,60000,0,0,0,0,0,0,0,0
Sawmill,Sawmill,18,60000,0,0,0,0,0,0,0,0
Sawmill,Sawmill,19,60000,0,0,0,0,0,0,0,0
Sawmill,Sawmill,20,60000,0,0,0,0,0,0,0,0
