SoldierType,Lv,Attack,Hp,Speed,LabLevel,UpgradeCost,UpgradeTime,RecruitCost
Footman,1,100,100,1.25,0,0,0,25
Footman,2,110,100,1.35,1,9500,7200,40
Footman,3,120,100,1.45,2,19500,10800,60
Footman,4,130,100,1.55,3,42000,21600,100
Footman,5,140,100,1.65,4,83000,28800,150
Footman,6,150,100,1.75,5,140000,43200,200
Footman,7,160,100,1.85,6,236000,61200,250
Footman,8,170,100,1.95,8,370000,79200,300
Footman,9,180,100,2.05,10,540000,86400,350
Cavalry,1,100,100,1.25,0,0,0,25
Cavalry,2,110,100,1.35,1,9500,7200,40
Cavalry,3,120,100,1.45,2,19500,10800,60
Cavalry,4,130,100,1.55,3,42000,21600,100
Cavalry,5,140,100,1.65,4,83000,28800,150
Cavalry,6,150,100,1.75,5,140000,43200,200
Cavalry,7,160,100,1.85,6,236000,61200,250
Cavalry,8,170,100,1.95,8,370000,79200,300
Cavalry,9,180,100,2.05,10,540000,86400,350
Hoplites,1,100,100,1.25,0,0,0,25
Hoplites,2,110,100,1.35,1,9500,7200,40
Hoplites,3,120,100,1.45,2,19500,10800,60
Hoplites,4,130,100,1.55,3,42000,21600,100
Hoplites,5,140,100,1.65,4,83000,28800,150
Hoplites,6,150,100,1.75,5,140000,43200,200
Hoplites,7,160,100,1.85,6,236000,61200,250
Hoplites,8,170,100,1.95,8,370000,79200,300
Hoplites,9,180,100,2.05,10,540000,86400,350
