3,,,,,,,,,,,,,,,,,,
,,,,,,,,,17,,,,,,,,,
,,,,,,,,19,18,19,,,,,,,,
,,17,16,,,,,19,18,19,,,,,16,17,,
,,16,16,16,,,,19,18,19,,,,16,16,16,,
,,,16,16,16,,,19,18,19,,,16,16,16,,,
,,,,16,16,16,,19,18,19,,16,16,16,,,,
,,,,,16,16,16,19,18,19,16,16,16,,,,,
,,,,,,16,16,19,18,19,17,16,,,,,,
,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,
17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17
,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,
,,,,,,16,16,19,18,19,17,16,,,,,,
,,,,,16,16,16,19,18,19,16,16,16,,,,,
,,,,16,16,16,,19,18,19,,16,16,16,,,,
,,,16,16,16,,,19,18,19,,,16,16,16,,,
,,16,16,16,,,,19,18,19,,,,16,16,16,,
,,17,16,,,,,19,18,19,,,,,16,17,,
,,,,,,,,19,18,19,,,,,,,,
,,,,,,,,,17,,,,,,,,,
