Type,Name,Lv,Hp,BuildTime,BuildCostWoods,BuildCostStone,BuildCostSteel,BuildCostGold,BuildCostDiamond,Exp,Param1,Param2
Hospital,Hospital,0,0,0,0,,,,,,0,
Hospital,Hospital,1,750,0,0,,,,,,0,
Hospital,Hospital,2,1450,120,60,,,,,,5,
Hospital,Hospital,3,2310,1200,600,,,,,,7,
Hospital,Hospital,4,2960,2400,1200,,,,,,10,
Hospital,Hospital,5,3360,6000,3000,,,,,,12,
Hospital,Hospital,6,3760,7200,3600,,,,,,15,
Hospital,Hospital,7,4160,8400,4200,,,,,,20,
Hospital,Hospital,8,4640,9600,4800,,,,,,25,
Hospital,Hospital,9,5200,12000,6000,,,,,,30,
Hospital,Hospital,10,6000,14400,7200,,,,,,35,
Hospital,Hospital,11,6800,16800,8400,,,,,,40,
Hospital,Hospital,12,7600,21600,10800,,,,,,45,
Hospital,Hospital,13,8400,26400,13200,,,,,,50,
Hospital,Hospital,14,9200,28800,14400,,,,,,55,
Hospital,Hospital,15,10000,33600,16800,,,,,,60,
