Type,Name,Lv,Hp,BuildTime,BuildCostWoods
CityHall,CityHall,1,3000,0,0
CityHall,CityHall,2,5587,60,500
CityHall,CityHall,3,9155,7200,4000
CityHall,CityHall,4,13864,28800,30000
CityHall,CityHall,5,19904,43200,60000
CityHall,CityHall,6,27503,86400,100000
CityHall,CityHall,7,36947,172800,200000
CityHall,CityHall,8,48106,345600,300000
CityHall,CityHall,9,61009,518400,400000
CityHall,CityHall,10,76430,691200,500000
CityHall,CityHall,11,101872,864000,600000
CityHall,CityHall,12,126974,1036800,750000
CityHall,CityHall,13,163887,1209600,900000
CityHall,CityHall,14,215401,1382400,1050000
CityHall,CityHall,15,289000,1555200,1500000
