Level,Soldier,MaxLevel
1,Infantry,4
1,Archer,4
1,Ogre,0
1,Demon,0
1,Catapult,4
1,Burrow,0
2,Infantry,5
2,Archer,5
2,Ogre,4
2,Demon,0
2,Catapult,5
2,Burrow,0
3,Infantry,6
3,Archer,6
3,Ogre,5
3,Demon,4
3,Catapult,6
3,Burrow,0
4,Infantry,7
4,Archer,7
4,Ogre,6
4,Demon,5
4,Catapult,7
4,Burrow,4
5,Infantry,8
5,Archer,8
5,Ogre,7
5,Demon,6
5,Catapult,8
5,Burrow,5
6,Infantry,9
6,Archer,9
6,Ogre,8
6,Demon,7
6,Catapult,9
6,Burrow,6
7,Infantry,10
7,Archer,10
7,Ogre,9
7,Demon,8
7,Catapult,10
7,Burrow,7
8,Infantry,10
8,Archer,10
8,Ogre,10
8,Demon,9
8,Catapult,10
8,Burrow,8
9,Infantry,10
9,Archer,10
9,Ogre,10
9,Demon,10
9,Catapult,10
9,Burrow,9
10,Infantry,10
10,Archer,10
10,Ogre,10
10,Demon,10
10,Catapult,10
10,Burrow,10
