#10001大本营(金币收集器)花费钻石 10002Laboratory 10003Barracks GoldMine10004 Diamond10005
id,level,hp,atk,upgradeCost
10001,1,250,0,0
10001,2,500,0,1010
10001,3,700,0,2000
10001,4,1000,0,4000
10001,5,1300,0,6000
10001,6,1600,0,10000
10001,7,2000,0,15000
10001,8,2500,0,20000
10001,9,3000,0,25000
10001,10,3500,0,33000
10001,11,4000,0,50000
10001,12,4500,0,60000
10002,1,0,0,200
10002,2,0,0,1000
10002,3,0,0,1500
10002,4,0,0,2500
10002,5,0,0,3500
10002,6,0,0,4500
10002,7,0,0,10000
10002,8,0,0,20000
10002,9,0,0,25000
10002,9,0,0,30000
10003,1,0,0,200
10003,2,0,0,1000
10003,3,0,0,1500
10003,4,0,0,2500
10003,5,0,0,3500
10003,6,0,0,4500
10003,7,0,0,10000
10003,8,0,0,20000
10003,9,0,0,25000
10003,10,0,0,30000
10003,11,0,0,40000
10003,12,0,0,50000
10003,13,0,0,60000
10003,14,0,0,70000
10003,15,0,0,80000
10004,1,0,0,150
10004,2,0,0,400
10004,3,0,0,700
10004,4,0,0,1400
10004,5,0,0,3000
10004,6,0,0,7000
10004,7,0,0,14000
10004,8,0,0,20000
10004,9,0,0,25000
10004,10,0,0,30000
10005,1,0,0,150
10005,2,0,0,400
10005,3,0,0,700
10005,4,0,0,1400
10005,5,0,0,3000
10005,6,0,0,7000
10005,7,0,0,14000
10005,8,0,0,20000
10005,9,0,0,25000
10005,10,0,0,30000
1,1,45,8,0
1,2,61,11,0
1,3,93,17,0
1,4,157,29,0
1,5,189,35,0
1,6,221,41,0
1,7,253,47,0
1,8,285,53,0
1,9,317,59,0
1,10,349,65,0
2,1,20,15,0
2,2,27,20,0
2,3,41,30,0
2,4,69,50,0
2,5,83,60,0
2,6,97,70,0
2,7,111,80,0
2,8,125,90,0
2,9,139,100,0
2,10,153,110,0
3,1,200,12,0
3,2,400,28,0
3,3,700,60,0
3,4,1600,131,0
3,5,1900,158,0
3,6,2200,185,0
3,7,2500,212,0
3,8,2800,239,0
3,9,3100,266,0
3,10,3300,293,0
4,1,150,16,0
4,2,300,36,0
4,3,500,77,0
4,4,1200,170,0
4,5,1425,205,0
4,6,1650,240,0
4,7,1875,275,0
4,8,2100,310,0
4,9,2325,345,0
4,10,2475,380,0
5,1,180,18,0
5,2,360,41,0
5,3,600,89,0
5,4,1440,196,0
5,5,1700,236,0
5,6,1980,277,0
5,7,2250,317,0
5,8,2500,358,0
5,9,2790,398,0
5,10,2950,439,0
6,1,135,8,0
6,2,305,11,0
6,3,651,17,0
6,4,1422,29,0
6,5,1701,35,0
6,6,1989,41,0
6,7,2277,47,0
6,8,2565,53,0
6,9,2853,59,0
6,10,3141,65,0
10006,1,96,23,150
10006,2,220,31,400
10006,3,476,47,700
10006,4,1044,79,1400
10006,5,1260,95,3000
10006,6,1476,111,7000
10006,7,1692,127,14000
10006,8,1908,143,20000
10006,9,2124,159,25000
10006,10,2340,175,30000
10007,1,96,30,150
10007,2,220,40,400
10007,3,476,61,700
10007,4,1044,103,1400
10007,5,1260,124,3000
10007,6,1476,144,7000
10007,7,1692,165,14000
10007,8,1908,186,20000
10007,9,2124,207,25000
10007,10,2340,228,30000
10009,1,96,8,150
10009,2,220,11,400
10009,3,476,17,700
10009,4,1044,29,1400
10009,5,1260,41,3000
10009,6,1476,53,7000
10009,7,1692,65,14000
10009,8,1908,77,20000
10009,9,2124,89,25000
10009,10,2340,101,30000
10010,1,82,0,150
10010,2,187,0,400
10010,3,405,0,700
10010,4,887,0,1400
10010,5,1071,0,3000
10010,6,1255,0,7000
10010,7,1438,0,14000
10010,8,1622,0,20000
10010,9,1805,0,25000
10010,10,1989,0,30000
10011,1,82,0,150
10011,2,187,0,400
10011,3,405,0,700
10011,4,887,0,1400
10011,5,1071,0,3000
10011,6,1255,0,7000
10011,7,1438,0,14000
10011,8,1622,0,20000
10011,9,1805,0,25000
10011,10,1989,0,30000
10012,1,82,0,150
10012,2,187,0,400
10012,3,405,0,700
10012,4,887,0,1400
10012,5,1071,0,3000
10012,6,1255,0,7000
10012,7,1438,0,14000
10012,8,1622,0,20000
10012,9,1805,0,25000
10012,10,1989,0,30000
10013,1,82,0,150
10013,2,187,0,400
10013,3,405,0,700
10013,4,887,0,1400
10013,5,1071,0,3000
10013,6,1255,0,7000
10013,7,1438,0,14000
10013,8,1622,0,20000
10013,9,1805,0,25000
10013,10,1989,0,30000
10015,1,82,0,150
10015,2,187,0,400
10015,3,405,0,700
10015,4,887,0,1400
10015,5,1071,0,3000
10015,6,1255,0,7000
10015,7,1438,0,14000
10015,8,1622,0,20000
